millis,distance_cm
100,10.38
200,10.38
300,10.38
400,10.36
500,10.36
600,10.38
700,10.38
800,10.36
900,10.38
1000,10.38
1100,10.38
1200,10.36
1300,10.38
1400,10.36
1500,10.38
1600,10.38
1700,10.38
1800,10.38
1900,10.38
2000,10.36
2100,10.38
2200,10.36
2300,10.38
2400,10.36
2500,10.38
2600,10.38
2700,10.36
2800,10.38
2900,10.38
3000,10.36
3100,10.36
3200,10.36
3300,10.38
3400,10.38
3500,10.36
3600,10.36
3700,10.38
3800,10.36
3900,10.38
4000,10.38
4100,10.38
4200,10.36
4300,10.38
4400,10.38
4500,10.36
4600,10.38
4700,10.38
4800,10.36
4900,10.36
5000,10.36
5100,10.38
5200,10.36
5300,10.38
5400,10.36
5500,10.38
5600,10.38
5700,10.36
5800,10.38
5900,10.38
6000,10.38
6100,10.38
6200,10.38
6300,10.36
6400,10.38
6500,10.36
6600,10.38
6700,10.38
6800,10.38
6900,10.38
7000,10.38
7100,10.38
7200,10.38
7300,10.38
7400,10.36
7500,10.36
7600,10.38
7700,10.36
7800,10.38
7900,10.36
8000,10.38
8100,10.38
8200,10.36
8300,10.36
8400,10.38
8500,10.38
8600,10.38
8700,10.36
8800,10.38
8900,10.36
9000,10.38
9100,10.36
9200,10.36
9300,10.36
9400,10.38
9500,10.36
9600,10.38
9700,10.38
9800,10.38
9900,10.36
10000,10.38
10100,10.38
10200,10.36
10300,10.36
10400,10.38
10500,10.36
