millis,distance_cm
100,14.63
200,14.61
300,14.61
400,14.61
500,14.61
600,14.61
700,14.61
800,14.63
900,14.61
1000,14.61
1100,14.61
1200,14.61
1300,14.61
1400,14.61
1500,14.61
1600,14.61
1700,14.61
1800,14.63
1900,14.61
2000,14.61
2100,14.61
2200,14.61
2300,14.59
2400,14.61
2500,14.61
2600,14.61
2700,14.61
2800,14.61
2900,14.61
3000,14.61
3100,14.61
3200,14.61
3300,14.61
3400,14.61
3500,14.61
3600,14.61
3700,14.61
3800,14.61
3900,14.61
4000,14.61
4100,14.61
4200,14.61
4300,14.61
4400,14.61
4500,14.61
4600,14.61
4700,14.61
4800,14.61
4900,14.61
5000,14.63
5100,14.61
5200,14.61
5300,14.61
5400,14.63
5500,14.61
5600,14.61
5700,14.61
5800,14.61
5900,14.61
6000,14.61
6100,14.61
6200,14.61
6300,14.61
6400,14.61
6500,14.63
6600,14.61
6700,14.61
6800,14.61
6900,14.61
7000,14.61
7100,14.61
7200,14.61
7300,14.61
7400,14.61
7500,14.61
7600,14.61
7700,14.61
7800,14.61
7900,14.63
8000,14.61
8100,14.61
8200,14.61
8300,14.61
8400,14.61
8500,14.63
8600,14.61
8700,14.61
8800,14.61
8900,14.61
9000,14.61
9100,14.61
9200,14.61
9300,14.61
9400,14.61
9500,14.61
9600,14.61
9700,14.61
9800,14.61
9900,14.61
10000,14.63
10100,14.61
10200,14.61
10300,14.61
10400,14.61
10500,14.61
