millis,distance_cm
100,24.15
200,23.26
300,24.13
400,24.13
500,24.13
600,24.15
700,24.15
800,24.15
900,23.26
1000,23.26
1100,24.13
1200,24.13
1300,24.15
1400,24.13
1500,24.13
1600,23.24
1700,24.13
1800,24.13
1900,24.13
2000,24.15
2100,23.26
2200,24.15
2300,24.13
2400,24.15
2500,23.26
2600,24.13
2700,24.15
2800,24.15
2900,24.15
3000,24.13
3100,24.15
3200,24.13
3300,24.15
3400,24.13
3500,23.26
3600,24.13
3700,24.15
3800,23.26
3900,23.26
4000,23.26
4100,23.26
4200,24.15
4300,24.15
4400,24.15
4500,24.15
4600,24.15
4700,24.15
4800,24.15
4900,24.15
5000,24.13
5100,24.15
5200,24.13
5300,23.26
5400,24.13
5500,23.24
5600,24.13
5700,24.13
5800,24.13
5900,24.15
6000,24.13
6100,24.13
6200,24.13
6300,24.13
6400,24.15
6500,24.13
6600,24.15
6700,24.15
6800,24.13
6900,24.13
7000,24.13
7100,24.15
7200,24.15
7300,24.13
7400,24.13
7500,24.13
7600,24.13
7700,24.13
7800,24.15
7900,24.15
8000,24.15
8100,24.13
8200,24.15
8300,24.15
8400,24.15
8500,24.15
8600,24.15
8700,24.13
8800,24.15
8900,24.13
9000,24.13
9100,24.13
9200,24.13
9300,24.13
9400,24.13
9500,24.13
9600,24.13
9700,24.13
9800,24.13
9900,24.13
10000,24.13
10100,24.13
10200,24.15
10300,24.15
10400,24.13
10500,24.13
