millis,distance_cm
100,29.36
200,29.36
300,28.81
400,29.36
500,28.81
600,29.36
700,28.81
800,28.81
900,28.81
1000,28.81
1100,28.81
1200,28.81
1300,29.34
1400,28.81
1500,28.81
1600,28.81
1700,28.81
1800,29.36
1900,28.81
2000,28.81
2100,29.36
2200,28.81
2300,29.34
2400,28.81
2500,28.81
2600,29.36
2700,28.81
2800,29.36
2900,28.81
3000,29.34
3100,28.81
3200,29.36
3300,28.50
3400,29.36
3500,28.81
3600,29.36
3700,29.36
3800,28.50
3900,29.34
4000,28.50
4100,28.50
4200,28.81
4300,29.36
4400,29.34
4500,29.34
4600,29.36
4700,28.50
4800,28.81
4900,28.81
5000,29.36
5100,28.81
5200,28.81
5300,28.81
5400,28.81
5500,28.81
5600,29.36
5700,28.81
5800,29.36
5900,28.81
6000,28.81
6100,29.36
6200,28.81
6300,29.36
6400,29.36
6500,28.81
6600,28.50
6700,29.36
6800,29.36
6900,29.36
7000,29.36
7100,29.34
7200,28.81
7300,28.81
7400,29.36
7500,29.36
7600,28.81
7700,29.34
7800,29.36
7900,28.81
8000,29.36
8100,29.36
8200,29.36
8300,29.36
8400,28.50
8500,28.52
8600,29.36
8700,29.36
8800,29.36
8900,29.36
9000,28.52
9100,28.50
9200,29.36
9300,29.36
9400,28.52
9500,28.52
9600,28.52
9700,28.52
9800,28.52
9900,28.50
10000,28.50
10100,28.52
10200,28.52
10300,29.36
10400,29.36
10500,28.81
